id,name,category,address,district,hours,rating,chain,seats
10d40e851e69052018fea9052ab4c7ab,Старый Подвал,ресторан,"Москва, Тверская улица, 9, корп. 4",Западный административный округ,"ежедневно, 09:00–22:00",3.5,0,161.0
1c04f569c3843e5ea2d299be406247a3,Северный Чайник,кофейня,"Москва, Пятницкая улица, 69, корп. 4",Северный административный округ,"пн-пт 08:00–20:00; сб,вс 10:00–20:00",4.7,0,48.0
7bbd5236e86b2be2c205cef97c1705d9,Синий Компот,кофейня,"Москва, Мясницкая улица, 100, корп. 3",Центральный административный округ,"пн-пт 08:00–20:00; сб,вс 10:00–20:00",4.5,0,
d02e18aa6e38ad8a5d841d0d19071a13,Тесто Бочка,ресторан,"Москва, Пятницкая улица, 86",Северо-Западный административный округ,"ежедневно, 10:00–22:00",4.5,1,117.0
ef728417256fbff45dffe59836ba6384,Золотой Гранат,кофейня,"Москва, Каширское шоссе, 96",Центральный административный округ,"ежедневно, 09:00–22:00",3.1,0,88.0
0de298d71361b5991a1c5eb5aba38540,Старый Гранат,кафе,"Москва, Варшавское шоссе, 24, корп. 3",Юго-Восточный административный округ,"ежедневно, 10:00–22:00",3.7,0,89.0
90378aa5c06d6fa7597010845d48e597,Домашний Хутор,быстрое питание,"Москва, улица Арбат, 117",Южный административный округ,,4.7,0,35.0
12e35549ff801de712a0cb9e88557867,Первый Кот,кофейня,"Москва, Никольская улица, 105",Восточный административный округ,"ежедневно, 10:00–22:00",4.6,0,109.0
c7ce08ac387f4e3f4758093f058ed1a4,Тихий Гранат,ресторан,"Москва, Верхняя Радищевская улица, 56",Юго-Восточный административный округ,"ежедневно, 24 часа",4.2,0,
254a2edde94814a1d3ef7bf7b9d03852,Двор Двор,кофейня,"Москва, улица Дыбенко, 94, корп. 1",Центральный административный округ,"ежедневно, 10:00–22:00",4.7,1,68.0
9bea908c205ecf80427fbb12eb9f9dbd,Белый Квартал,кофейня,"Москва, Верхняя Радищевская улица, 9, корп. 4",Северо-Западный административный округ,"ежедневно, 10:00–22:00",3.3,0,
07ff92200f619329aa0f233986ed61e6,Шоколадница,кофейня,"Москва, улица Арбат, 60",Северный административный округ,"ежедневно, 11:00–23:00",3.9,1,
60a2c0900ec3dc5cb35a8fa47a4983bc,Домашний Бульвар,ресторан,"Москва, Верхняя Радищевская улица, 64, корп. 1",Юго-Восточный административный округ,"пн-пт 08:00–20:00; сб,вс 10:00–20:00",4.6,0,112.0
a1764cd3efc9e35dbe4e6c2ec4f18a91,Додо Пицца,пиццерия,"Москва, Пятницкая улица, 49, корп. 4",Западный административный округ,"ежедневно, круглосуточно",4.5,1,
280f4e65dfd2c8c16de0f175c09fbbce,Красный Сад,ресторан,"Москва, Малая Бронная улица, 98",Центральный административный округ,,4.4,0,
a09820c0c996888ffae6609f72127d9d,Cofix,кофейня,"Москва, улица Арбат, 70, корп. 1",Восточный административный округ,"ежедневно, 10:00–22:00",4.2,1,55.0
72b1a21d8ff9f20506501d5b4567abea,One Price Coffee,кофейня,"Москва, Тверская улица, 102, корп. 1",Центральный административный округ,"ежедневно, 09:00–22:00",3.8,1,46.0
ec74b5a58d52016ccab89e90a9a3a9d5,Печка Двор,быстрое питание,"Москва, Правобережная улица, 57, корп. 3",Юго-Восточный административный округ,"ежедневно, 10:00–22:00",3.8,1,74.0
5ef4d10271ca1126291aab00af6e86b3,Первый Базар,кафе,"Москва, Тверская улица, 116, корп. 2",Центральный административный округ,"ежедневно, 10:00–22:00",4.2,0,
6ed294d539fdf01b26280d64f401464a,Первый Хутор,ресторан,"Москва, проспект Мира, 90, корп. 1",Западный административный округ,"ежедневно, 09:00–22:00",4.6,0,
b8794bf43d5a6bbbafdb60684428e023,Вечерний Кот,ресторан,"Москва, Верхняя Радищевская улица, 71, корп. 4",Центральный административный округ,"ежедневно, 09:00–22:00",4.3,0,189.0
483d9d6660172bd1fe00e1bf3e50cc32,Суши Пельмень,ресторан,"Москва, Каширское шоссе, 109, корп. 2",Восточный административный округ,"пн-пт 08:00–20:00; сб,вс 10:00–20:00",4.1,1,
3e473f27a788108ca7f275a128eb0c4e,Старый Чайник,кафе,"Москва, улица Арбат, 1, корп. 2",Восточный административный округ,"ежедневно, 09:00–22:00",4.9,0,
e2e235a11c1d6556d48c19ea5692cc21,Домашний Причал,ресторан,"Москва, Профсоюзная улица, 90",Северо-Восточный административный округ,"ежедневно, 11:00–23:00",4.1,0,
0ec29c43f564d8fc6b6a77be5ea5c280,Вкус Пельмень,кафе,"Москва, Тверская улица, 83",Северный административный округ,"ежедневно, 10:00–22:00",3.8,1,
7f46948dd29ba843d4de3370f04b3dd2,Красный Чайник,кафе,"Москва, Верхняя Радищевская улица, 61",Юго-Восточный административный округ,"ежедневно, 11:00–23:00",3.6,0,44.0
30b24c1c6f29ffe1b85d2627c9288b35,Шоколадница,кофейня,"Москва, Клязьминская улица, 32",Южный административный округ,пн-вс 12:00–00:00,4.2,1,82.0
0f9aa4f8c0a4a673e5d402ca3804db25,Большой Слон,кафе,"Москва, улица Арбат, 56",Центральный административный округ,"пн-чт 11:00–02:00; пт,сб 11:00–05:00; вс 11:00–02:00",4.1,0,143.0
