id,price,avg_bill,middle_avg_bill,middle_coffee_cup
76ecbe37b65a7ccdc501e6ae246d47f6,высокие,Средний счёт:2300–2400 ₽,2350.0,
ff6e5ebb111532ef0df39d9d625c5cfc,средние,Средний счёт:от 700 ₽,700.0,
99eab1b3f8f12c35c20e01f10ff75152,ниже среднего,Средний счёт:250–350 ₽,300.0,
9f3abb14b0fc545838a179e0b97830d9,средние,Средний счёт:450–550 ₽,500.0,
26d0f5afa7284ac3620e2131e1c9ee4f,средние,Средний счёт:500–600 ₽,550.0,
989d09af4f70873c7f172dc4922a814a,низкие,Средний счёт:550–650 ₽,600.0,
97da8189ba8611b890be54f2327ede09,средние,Средний счёт:от 750 ₽,750.0,
e50100529557660096f94010f26ebc54,средние,Средний счёт:1150–1250 ₽,1200.0,
2cc514cfeab23b705b39d7fc60a62de2,ниже среднего,Средний счёт:1200–1300 ₽,1250.0,
7c4ad9d3e2ab83e7721aa3fcd637f52e,средние,Средний счёт:650–750 ₽,700.0,
4605cdb6d140bb7de98df584532854fb,высокие,Средний счёт:550–650 ₽,600.0,
625ea6160c8a03572ebd68b420cdbbef,,Цена чашки капучино:182–212 ₽,,197.0
7371398085d217966f7c0237cf519d1b,средние,Средний счёт:800–900 ₽,850.0,
a22de0fbe78b71b12794e4bbd3884fc5,средние,Средний счёт:от 1200 ₽,1200.0,
03f34efe774207a94965ed3800894975,средние,Средний счёт:950–1050 ₽,1000.0,
49ef2dd643341e7e8bbe5bb558c4acd3,ниже среднего,Средний счёт:250–350 ₽,300.0,
5a7fe2387c651a3a97447b90a6e84f2d,средние,,,
673b0079b532d1f2504e6d294d5c5f99,ниже среднего,Средний счёт:800–900 ₽,850.0,
03e5d134ff063c462d534d7755032c7f,средние,Средний счёт:от 750 ₽,750.0,
25d32d55e3d545c143b8d5778e3c94fe,высокие,Средний счёт:от 3800 ₽,3800.0,
982ca49b6d3a692a40080270481021ab,высокие,Средний счёт:950–1050 ₽,1000.0,
caa315fa738f1527a73cbbe54291b98a,выше среднего,Средний счёт:550–650 ₽,600.0,
c043f52555e3a74888a67105342360f6,ниже среднего,Средний счёт:300–400 ₽,350.0,
e6c6842e50efc41de61776facd5e39fc,средние,Средний счёт:2000–2100 ₽,2050.0,
5b5aeaefd47b62445a0f17426b2be410,средние,Средний счёт:2300–2400 ₽,2350.0,
e165c7fc243dcc477ec431bf728b0fb4,выше среднего,Средний счёт:2400–2500 ₽,2450.0,
77ecaee278d061cbcfa4b24cb6e1757d,выше среднего,Средний счёт:850–950 ₽,900.0,
95409c2847dd7015401e165ff2057b9d,низкие,Средний счёт:от 500 ₽,500.0,
157c168a65417ead1f47b69a0808c19e,средние,Средний счёт:1300–1400 ₽,1350.0,
eb678766b30fb9996d8cfe0aee3c3f22,,,,
3223ea26b80fa9a5a3ad920432c66584,,Средний счёт:1350–1450 ₽,1400.0,
7a3e4a1ed0b0007b5cfc343e415e0017,,,,
48e2a2f0f1a63f7951868a299dc716e4,,Средний счёт:550–650 ₽,600.0,
1a3fe7f9ae1403c4d690bb019d95e56b,высокие,Средний счёт:1750–1850 ₽,1800.0,
7cac19626e22abc6fcb2d3924d589b8d,ниже среднего,Средний счёт:750–850 ₽,800.0,
14aa5f82fc4a0bf0ba8069d6f345156e,средние,Средний счёт:2050–2150 ₽,2100.0,
067d4a78e403b14be97c18bc9bc9f0ce,низкие,Средний счёт:500–600 ₽,550.0,
8d4a82716479124e3298e9bad9512118,средние,Средний счёт:700–800 ₽,750.0,
8625c99ea4939120cd1395d764fd7b79,средние,Средний счёт:900–1000 ₽,950.0,
3198f7eeb8c78664b595ad9165b2c609,,Средний счёт:1300–1400 ₽,1350.0,
184aeb78fc50f71bad24241590d00b6c,,,,
d20f9a9f12e297bb8d54ef426569dfa6,,Средний счёт:650–750 ₽,700.0,
